"Numéro";"Prénom";"Nom";"Adresse";"Ville";"Téléphone";"E-mail"
"1";"Pierre";" Dupont";" 12 rue de la Montagne";" Montréal";" 0102030405";" pierre.dupont@email.com"
"2";"Marie";" Martin";" 15 avenue des Pins";" Montréal";" 0607080910";" marie.martin@email.com"
"3";"Jacques";" Lefevre";" 23 boulevard Saint-Laurent";" Montréal";" 0145567890";" jacques.lefevre@email.com"
"4";"Sophie";" Durand";" 10 rue Saint-Jean";" Québec";" 0123456789";" sophie.durand@email.com"
"5";"Alain";" Bernard";" 42 rue de l'Université";" Trois-Rivières";" 0178392910";" alain.bernard@email.com"
"6";"Claire";" Robert";" 56 rue de la Paix";" Laval";" 0321564789";" claire.robert@email.com"
"7";"Thomas";" Petit";" 78 rue de Verdun";" Montréal";" 0612345678";" thomas.petit@email.com"
"8";"Lucie";" Roux";" 34 rue de l'Église";" Gatineau";" 0739281940";" lucie.roux@email.com"
"9";"Michel";" Lefevre";" 67 rue des Érables";" Longueuil";" 0987654321";" michel.lefevre@email.com"
"10";"Emma";" Marchand";" 89 avenue Cartier";" Sherbrooke";" 0156321478";" emma.marchand@email.com"
"11";"Marc";" Lefevre";" 123 rue des Laurentides";" Laval";" 0147362850";" marc.lefevre@email.com"
"12";"Isabelle";" Laurent";" 33 rue du Parc";" Montréal";" 0624567834";" isabelle.laurent@email.com"
"13";"Nicolas";" Dupuis";" 45 rue de la Rivière";" Lévis";" 0687439821";" nicolas.dupuis@email.com"
"14";"Alice";" Lemoine";" 56 rue de l'Industrie";" Montréal";" 0156472910";" alice.lemoine@email.com"
"15";"Pierre";" Boucher";" 77 rue des Tilleuls";" Saint-Jean-sur-Richelieu";" 0981264785";" pierre.boucher@email.com"
"16";"Céline";" Barbier";" 32 rue du Vieux-Port";" Québec";" 0778123456";" celine.barbier@email.com"
"17";"Didier";" Robert";" 23 avenue de la Gare";" Trois-Rivières";" 0156345987";" didier.robert@email.com"
"18";"Sophie";" Rousseau";" 55 rue des Bois";" Laval";" 0624738294";" sophie.rousseau@email.com"
"19";"François";" Martin";" 102 rue des Lilas";" Gatineau";" 0148529304";" francois.martin@email.com"
"20";"Hélène";" Lefevre";" 67 rue du Vieux-Montréal";" Montréal";" 0623761987";" helene.lefevre@email.com"
"21";"Xavier";" Durand";" 89 rue de l'Acier";" Shawinigan";" 0712564390";" xavier.durand@email.com"
"22";"Camille";" Lefevre";" 11 rue des Fleurs";" Trois-Rivières";" 0692318475";" camille.lefevre@email.com"
"23";"Laurent";" Lambert";" 23 rue du Parc";" Laval";" 0783921846";" laurent.lambert@email.com"
"24";"Julie";" Lefevre";" 54 rue de la Rivière";" Montréal";" 0778391023";" julie.lefevre@email.com"
"25";"Thomas";" Robert";" 34 rue des Pins";" Québec";" 0657382917";" thomas.robert@email.com"
"26";"Pierre";" Lefevre";" 15 rue du Parc";" Gatineau";" 0603128479";" pierre.lefevre@email.com"
"27";"Claire";" Dupuis";" 101 rue du Lac";" Saint-Hyacinthe";" 0168523947";" claire.dupuis@email.com"
"28";"Lucien";" Bernard";" 47 avenue du Mont-Royal";" Montréal";" 0987412365";" lucien.bernard@email.com"
"29";"Éric";" Marchand";" 32 rue de la Ville";" Trois-Rivières";" 0773892651";" eric.marchand@email.com"
"30";"Isabelle";" Lefevre";" 57 rue des Mimosas";" Laval";" 0683748291";" isabelle.lefevre@email.com"
"31";"Claire";" Lefevre";" 22 rue de Saint-Jean";" Québec";" 0661529370";" claire.lefevre@email.com"
"32";"Thierry";" Robert";" 39 rue de la Montagne";" Gatineau";" 0159234738";" thierry.robert@email.com"
"33";"Anne";" Lefevre";" 102 rue des Pins";" Laval";" 0783921045";" anne.lefevre@email.com"
"34";"Michel";" Durand";" 14 rue des Érables";" Longueuil";" 0705674812";" michel.durand@email.com"
"35";"Valérie";" Lefevre";" 121 rue de l'Université";" Québec";" 0612089347";" valerie.lefevre@email.com"
"36";"Olivier";" Dupont";" 13 rue de la Plage";" Rimouski";" 0783019835";" olivier.dupont@email.com"
"37";"Gérard";" Rousseau";" 55 avenue du Parc";" Montréal";" 0619238476";" gerard.rousseau@email.com"
